name,cluster
建筑业增加值(亿元),0
教育城镇单位就业人员工资总额(亿元),0
全社会固定资产投资中其他资金(亿元),0
全社会住宅投资(亿元),0
城镇住宅投资(亿元),0
房地产住宅投资(亿元),0
房地产业全社会固定资产投资(亿元),0
房屋施工面积(万平方米),0
住宅房屋施工面积(万平方米),0
固定资产投资(不含农户)其他资金(亿元),0
固定资产投资(不含农户)(亿元),0
房地产业固定资产投资(不含农户)(亿元),0
固定资产投资(不含农户)房屋施工面积(万平方米),0
固定资产投资(不含农户)住宅施工面积(万平方米),0
内资房地产开发企业个数(个),0
房地产开发住宅投资额(亿元),0
房地产开发企业住宅新开工房屋面积(万平方米),0
房地产开发企业其他用途新开工房屋面积(万平方米),0
商品房销售面积(万平方米),0
住宅商品房销售面积(万平方米),0
1-5亿元房地产开发投资额(亿元),0
地方财政医疗卫生支出(亿元),0
客运量(万人),0
公路客运量(万人),0
新注册民用汽车拥有量(万辆),0
新注册民用载客汽车拥有量(万辆),0
新注册民用小型载客汽车拥有量(万辆),0
餐饮业企业所有者权益合计(亿元),0
博物馆参观人次(万人次),0
