generation,train,validation,test,valid_mse,test_mse
0,0.527332255403,0.314986187629,0.38987388105,0.0436996272079,0.0568372109199
1,0.589904162689,0.401827242223,0.380660980613,0.0378353974232,0.057695452436
2,0.616403762269,0.482638867047,0.390023523099,0.0340709381106,0.056823270791
3,0.648298722221,0.531258658719,0.42775464144,0.0317063851486,0.0533083720434
4,0.662024998716,0.568087435155,0.437433807122,0.0315011304513,0.0524066948913
5,0.665806570126,0.561345741473,0.437247947813,0.0300943018031,0.0524240088931
6,0.687092013308,0.588850139869,0.452135648236,0.0285202577856,0.0510371228989
7,0.695481444713,0.615812779175,0.455810701745,0.0279181393603,0.050694767794
8,0.717422269102,0.625109068831,0.483986300913,0.0252754352212,0.0480700277232
9,0.715326410125,0.656966036254,0.467588463017,0.025280885042,0.0495975928318
10,0.7145984594,0.658982237585,0.491890276057,0.0252499375574,0.0473337211
11,0.712962429639,0.656463033536,0.5061831301,0.0260243175361,0.0460022489098
12,0.75262821725,0.6460919885,0.516398391749,0.0240154767937,0.0450506309362
13,0.688035600611,0.677726206073,0.521617116129,0.0316283718351,0.0445644728631
14,0.711899951103,0.577401245884,0.521717770372,0.0279874890227,0.0445550962666
15,0.742496302684,0.622960722998,0.552919849543,0.0238930385423,0.0416484199256
16,0.742530908237,0.677179979082,0.541506317104,0.0237786039774,0.0427116646064
17,0.737311738887,0.682315506767,0.554440049463,0.0252215197466,0.0415068034289
18,0.691353091678,0.660502639162,0.558991911936,0.0283372332369,0.0410827678739
19,0.746824801391,0.613722493132,0.558787797656,0.0230062502828,0.0411017824449
20,0.753569719905,0.689029297601,0.562838442593,0.022451949868,0.040724438559
21,0.74849037128,0.696805216164,0.562244789315,0.0223624561776,0.0407797412178
22,0.743521611762,0.692881641343,0.55523413647,0.0232755857396,0.0414328290664
23,0.786529932532,0.679539945096,0.584876165852,0.0192032148814,0.0386714814962
24,0.786647589086,0.745997654422,0.528988297371,0.0187627641057,0.0438777994526
25,0.792013652394,0.750978749681,0.539474341825,0.0192022115178,0.0429009563019
26,0.79063781544,0.744872503171,0.553841939694,0.0185542648021,0.0415625212388
27,0.785225925866,0.751457837287,0.546217601711,0.0181366202922,0.0422727778441
28,0.773622338613,0.753023273216,0.549273933249,0.0217542727003,0.0419880607096
29,0.798705169847,0.714157232937,0.557561393918,0.0172377535712,0.041216029919
