f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,num,validation
房地产住宅投资(亿元),建筑业城镇单位就业人员(万人),中等职业学校招生数(万人),小学生师比(教师人数=1),特殊教育毕业生数(万人),艺术表演团体演出场次(万场次),鲜菜类居民消费价格指数(上年=100),农村集中供养五保人数(万人),新注册民用中型载客汽车拥有量(万辆),城镇居民医疗保险基金收入(万元),56,0.795431687691
固定资产投资(不含农户)房屋施工面积(万平方米),建筑业城镇单位就业人员(万人),中等职业学校获得职业资格证书毕业生数(万人),小学生师比(教师人数=1),特殊教育毕业生数(万人),艺术表演团体国内演出场次(千场次),鲜菜类居民消费价格指数(上年=100),农村集中供养五保人数(万人),新注册民用中型载客汽车拥有量(万辆),公共图书馆参观展览人次(万人次),59,0.79444630433
固定资产投资(不含农户)房屋施工面积(万平方米),建筑业城镇单位就业人员(万人),中等职业学校获得职业资格证书毕业生数(万人),小学生师比(教师人数=1),特殊教育毕业生数(万人),艺术表演团体国内演出场次(千场次),鲜菜类居民消费价格指数(上年=100),农村集中供养五保人数(万人),新注册民用中型载客汽车拥有量(万辆),公共图书馆参观展览人次(万人次),58,0.790957452888
固定资产投资(不含农户)(亿元),建筑业企业从业人员(万人),中等职业学校招生数(万人),小学生师比(教师人数=1),特殊教育毕业生数(万人),艺术表演团体演出场次(万场次),鲜菜类居民消费价格指数(上年=100),农村集中供养五保人数(万人),新注册民用中型载客汽车拥有量(万辆),城镇居民医疗保险基金收入(万元),53,0.790583193819
房屋施工面积(万平方米),家庭儿童收养登记总数(件),中等职业学校招生数(万人),小学生师比(教师人数=1),特殊教育毕业生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),新注册民用中型载客汽车拥有量(万辆),城镇居民基本医疗保险年末参保人数(万人),45,0.785686384719
固定资产投资(不含农户)(亿元),建筑业企业从业人员(万人),中等职业学校招生数(万人),小学生师比(教师人数=1),特殊教育毕业生数(万人),艺术表演团体演出场次(万场次),鲜菜类居民消费价格指数(上年=100),农村集中供养五保人数(万人),新注册民用中型载客汽车拥有量(万辆),城镇居民医疗保险基金收入(万元),52,0.78526398727
固定资产投资(不含农户)(亿元),国内外观设计专利申请受理量(项),中等职业学校招生数(万人),小学生师比(教师人数=1),特殊教育毕业生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),城镇单位就业人员平均工资(元),城镇居民医疗保险基金支出(万元),49,0.784450832626
固定资产投资(不含农户)(亿元),国内外观设计专利申请受理量(项),中等职业学校招生数(万人),小学生师比(教师人数=1),特殊教育毕业生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),城镇单位就业人员平均工资(元),城镇居民医疗保险基金支出(万元),50,0.783940451678
房地产住宅投资(亿元),建筑业城镇单位就业人员(万人),初中在校学生数(万人),小学生师比(教师人数=1),自动气象站站点个数(个),艺术表演团体国内演出场次(千场次),鲜菜类居民消费价格指数(上年=100),农村集中供养五保人数(万人),办公楼销售额(亿元),社会组织女性职工人数(人),146,0.780176686861
房屋施工面积(万平方米),家庭儿童收养登记总数(件),中等职业学校招生数(万人),小学生师比(教师人数=1),特殊教育毕业生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),新注册民用中型载客汽车拥有量(万辆),城镇居民基本医疗保险年末参保人数(万人),44,0.780042431597
固定资产投资(不含农户)(亿元),家庭儿童收养登记总数(件),中等职业学校招生数(万人),小学生师比(教师人数=1),特殊教育毕业生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),城镇单位就业人员平均工资(元),城镇居民基本医疗保险年末参保人数(万人),47,0.774422441978
固定资产投资(不含农户)(亿元),建筑业企业从业人员(万人),中等职业学校招生数(万人),小学生师比(教师人数=1),特殊教育毕业生数(万人),艺术表演团体演出场次(万场次),鲜菜类居民消费价格指数(上年=100),农村集中供养五保人数(万人),新注册民用中型载客汽车拥有量(万辆),城镇居民医疗保险基金收入(万元),54,0.774403237809
教育城镇单位就业人员工资总额(亿元),建筑业城镇单位就业人员(万人),普通小学招生数(万人),小学生师比(教师人数=1),自动气象站站点个数(个),艺术表演团体国内演出场次(千场次),鲜菜类居民消费价格指数(上年=100),农村集中供养五保人数(万人),办公楼销售额(亿元),社会组织女性职工人数(人),143,0.76791827294
固定资产投资(不含农户)其他资金(亿元),家庭儿童收养登记总数(件),新注册民用轻型载货汽车拥有量(万辆),小学生师比(教师人数=1),乡镇数(个),艺术表演团体演出场次(万场次),鲜菜类居民消费价格指数(上年=100),农村集中供养五保人数(万人),城镇单位就业人员平均工资(元),公路旅客周转量(亿人公里),115,0.767844862711
房地产住宅投资(亿元),建筑业城镇单位就业人员(万人),初中在校学生数(万人),小学生师比(教师人数=1),自动气象站站点个数(个),艺术表演团体国内演出场次(千场次),鲜菜类居民消费价格指数(上年=100),农村集中供养五保人数(万人),办公楼销售额(亿元),社会组织女性职工人数(人),145,0.767425143267
房地产业固定资产投资(不含农户)(亿元),家庭儿童收养登记总数(件),医疗卫生机构门诊健康检查人数(万人),小学生师比(教师人数=1),乡镇数(个),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),城镇单位就业人员平均工资(元),公路旅客周转量(亿人公里),118,0.766982266686
