f1,f2,f3,f4,f5,num,validation
固定资产投资(不含农户)其他资金(亿元),自治组织单位数(个),内资建筑业企业从业人员(万人),新注册民用载货汽车拥有量(万辆),小学生师比(教师人数=1),81,0.678055820694
固定资产投资(不含农户)其他资金(亿元),自治组织单位数(个),内资建筑业企业从业人员(万人),新注册民用载货汽车拥有量(万辆),小学生师比(教师人数=1),80,0.653110220335
房屋施工面积(万平方米),艺术表演团体机构数(个),家庭儿童收养登记总数(件),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),116,0.648214206857
房屋施工面积(万平方米),艺术表演团体机构数(个),家庭儿童收养登记总数(件),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),117,0.636340441868
房屋施工面积(万平方米),艺术表演团体机构数(个),家庭儿童收养登记总数(件),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),115,0.632362173897
固定资产投资(不含农户)其他资金(亿元),自治组织单位数(个),内资建筑业企业从业人员(万人),普通小学教职工数(万人),小学生师比(教师人数=1),84,0.623470271226
房屋施工面积(万平方米),艺术表演团体机构数(个),福利彩票提取公益金(亿元),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),119,0.62300701292
1-5亿元房地产开发投资额(亿元),普通小学学校数(所),国内外观设计专利申请授权量(项),普通高中专任教师数(万人),小学生师比(教师人数=1),89,0.620691885912
住宅商品房销售面积(万平方米),特殊教育毕业生数(万人),建筑业城镇单位就业人员(万人),初中毕业生数(万人),小学生师比(教师人数=1),7,0.619686837014
房地产业固定资产投资(不含农户)(亿元),特殊教育在校学生数(万人),福利彩票提取公益金(亿元),新注册民用载货汽车拥有量(万辆),小学生师比(教师人数=1),78,0.617111640563
固定资产投资(不含农户)其他资金(亿元),自治组织单位数(个),内资建筑业企业从业人员(万人),普通小学教职工数(万人),小学生师比(教师人数=1),83,0.61620888975
房地产业固定资产投资(不含农户)(亿元),特殊教育在校学生数(万人),福利彩票提取公益金(亿元),新注册民用载货汽车拥有量(万辆),小学生师比(教师人数=1),77,0.614805927664
新注册民用小型载客汽车拥有量(万辆),农村集中供养五保人数(万人),中国公民收养登记数(件),普通高中招生数(万人),政府办医院病床使用率(%),147,0.607546930189
1-5亿元房地产开发投资额(亿元),农村集中供养五保人数(万人),中国公民收养登记数(件),普通高中招生数(万人),政府办医院病床使用率(%),145,0.604259430891
新注册民用汽车拥有量(万辆),特殊教育在校学生数(万人),城镇居民基本医疗保险年末参保人数(万人),普通高中在校学生数(万人),政府办医院病床使用率(%),106,0.603051207916
房屋施工面积(万平方米),特殊教育在校学生数(万人),城镇居民基本医疗保险年末参保人数(万人),基层医疗卫生机构床位数(万张),政府办医院病床使用率(%),112,0.602794834179
房地产业固定资产投资(不含农户)(亿元),其他办的村卫生室个数(个),城镇居民医疗保险基金收入(万元),新注册民用载货汽车拥有量(万辆),小学生师比(教师人数=1),76,0.60278109181
内资房地产开发企业个数(个),特殊教育在校学生数(万人),城镇居民基本医疗保险年末参保人数(万人),初中学校数(所),政府办医院病床使用率(%),103,0.601202689789
全社会固定资产投资中其他资金(亿元),农村集中供养五保人数(万人),中国公民收养登记数(件),中等职业学校获得职业资格证书毕业生数(万人),政府办医院病床使用率(%),138,0.600229091844
全社会固定资产投资中其他资金(亿元),特殊教育毕业生数(万人),中国公民收养登记数(件),国家重点优抚对象定期补助人数(万人),政府办医院病床使用率(%),135,0.598346150869
全社会固定资产投资中其他资金(亿元),农村集中供养五保人数(万人),中国公民收养登记数(件),中等职业学校获得职业资格证书毕业生数(万人),政府办医院病床使用率(%),137,0.598337398244
新注册民用载客汽车拥有量(万辆),农村集中供养五保人数(万人),社会组织女性职工人数(人),中等职业学校获得职业资格证书毕业生数(万人),政府办医院病床使用率(%),141,0.598212613687
房屋施工面积(万平方米),特殊教育在校学生数(万人),城镇居民基本医疗保险年末参保人数(万人),中等职业学校在校学生数(万人),政府办医院病床使用率(%),109,0.597938396608
房地产业固定资产投资(不含农户)(亿元),其他办的村卫生室个数(个),城镇居民医疗保险基金支出(万元),医疗卫生机构出院人数(万人),小学生师比(教师人数=1),22,0.596587295312
固定资产投资(不含农户)(亿元),其他办的村卫生室个数(个),城镇居民医疗保险基金支出(万元),初中招生数(万人),小学生师比(教师人数=1),24,0.596353588786
固定资产投资(不含农户)(亿元),其他办的村卫生室个数(个),城镇居民医疗保险基金支出(万元),初中招生数(万人),小学生师比(教师人数=1),25,0.594232205078
房地产业固定资产投资(不含农户)(亿元),其他办的村卫生室个数(个),城镇居民医疗保险基金支出(万元),医疗卫生机构出院人数(万人),小学生师比(教师人数=1),21,0.58766714256
房屋施工面积(万平方米),特殊教育在校学生数(万人),城镇居民基本医疗保险年末参保人数(万人),中等职业学校在校学生数(万人),政府办医院病床使用率(%),108,0.587508483703
全社会固定资产投资中其他资金(亿元),特殊教育毕业生数(万人),中国公民收养登记数(件),国家重点优抚对象定期补助人数(万人),政府办医院病床使用率(%),133,0.586983497211
新注册民用汽车拥有量(万辆),特殊教育在校学生数(万人),城镇居民基本医疗保险年末参保人数(万人),普通高中在校学生数(万人),政府办医院病床使用率(%),105,0.585434525534
建筑业增加值(亿元),乡村医生和卫生员数(万人),建筑业城镇单位就业人员(万人),初中毕业生数(万人),小学生师比(教师人数=1),5,0.583353464376
房地产业固定资产投资(不含农户)(亿元),农村集中供养五保人数(万人),城镇居民医疗保险基金支出(万元),中等职业学校毕业生数(万人),小学生师比(教师人数=1),17,0.58301887226
1-5亿元房地产开发投资额(亿元),农村集中供养五保人数(万人),中国公民收养登记数(件),普通高中招生数(万人),政府办医院病床使用率(%),144,0.575798836186
全社会固定资产投资中其他资金(亿元),特殊教育毕业生数(万人),中国公民收养登记数(件),国家重点优抚对象定期补助人数(万人),政府办医院病床使用率(%),132,0.575053319188
住宅房屋施工面积(万平方米),国有城镇单位就业人员工资总额指数(上年=100),城镇居民医疗保险基金支出(万元),初中招生数(万人),小学生师比(教师人数=1),29,0.573396392865
内资房地产开发企业个数(个),特殊教育在校学生数(万人),城镇居民基本医疗保险年末参保人数(万人),农村卫生机构床位数(万张),政府办医院病床使用率(%),101,0.569483029617
新注册民用汽车拥有量(万辆),特殊教育毕业生数(万人),社会组织女性职工人数(人),国家重点优抚对象定期补助人数(万人),政府办医院病床使用率(%),131,0.564689494132
1-5亿元房地产开发投资额(亿元),农村集中供养五保人数(万人),社会组织女性职工人数(人),普通高中招生数(万人),政府办医院病床使用率(%),143,0.563952020891
固定资产投资(不含农户)(亿元),其他办的村卫生室个数(个),城镇居民医疗保险基金支出(万元),初中招生数(万人),小学生师比(教师人数=1),23,0.563618319239
