1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,n
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,0,0,0,2
0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,1,3,0,0,0,3
0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,2,4,0,0,0,4
0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,0,3,5,0,0,0,5
0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,7,0,3,6,0,0,0,6
0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,8,0,3,8,0,0,0,7
0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,11,1,3,8,0,0,0,8
0,0,0,1,9,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,14,1,3,8,0,0,0,9
0,0,0,1,10,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,16,1,3,9,0,0,0,10
0,0,0,1,11,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,18,1,3,10,0,0,0,11
0,0,0,1,12,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,20,1,3,11,0,0,0,12
0,0,0,1,12,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,21,1,4,13,0,0,0,13
0,0,0,1,13,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,22,1,5,15,0,0,0,14
0,0,0,1,13,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,24,1,6,15,0,0,0,15
0,0,0,1,14,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,25,1,8,15,0,0,0,16
0,0,0,1,15,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,26,1,9,15,0,0,0,17
0,0,0,1,16,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,28,1,10,15,0,0,0,18
0,0,0,1,17,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,29,1,11,17,0,0,0,19
0,0,0,1,18,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,30,1,12,19,0,0,0,20
0,0,0,1,19,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,31,1,13,21,0,0,0,21
0,0,0,1,19,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,32,1,14,23,0,0,0,22
0,0,0,1,20,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,34,1,15,23,0,0,0,23
0,0,0,1,21,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,35,1,17,23,0,0,0,24
0,0,0,1,22,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,37,1,18,23,0,0,0,25
0,0,0,1,23,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,39,1,19,23,0,0,0,26
0,0,0,1,24,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,40,1,21,23,0,0,0,27
0,0,0,1,25,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,42,1,22,23,0,0,0,28
0,0,0,1,26,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,43,1,23,25,0,0,0,29
0,0,0,1,26,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,45,1,24,25,0,0,0,30
0,1,0,2,26,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,47,1,25,25,0,0,0,31
0,1,0,2,27,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,49,1,25,26,0,0,0,32
0,1,0,2,28,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,50,1,26,28,0,0,0,33
0,1,0,2,29,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,51,1,27,30,0,0,0,34
0,1,0,3,30,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,53,1,27,30,0,0,0,35
0,1,0,3,31,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,54,1,29,30,0,0,0,36
0,1,0,3,31,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,55,1,30,32,0,0,0,37
0,1,0,3,32,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,56,1,31,34,0,0,0,38
0,1,0,3,33,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,58,1,32,34,0,0,0,39
0,1,0,3,34,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,60,1,33,34,0,0,0,40
0,1,0,3,35,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,61,1,34,36,0,0,0,41
0,1,0,3,36,0,0,0,0,0,0,0,1,0,5,11,0,0,0,0,0,62,1,34,36,0,0,0,42
0,1,0,3,37,0,0,0,0,0,0,0,1,0,5,11,0,0,0,0,0,63,1,35,38,0,0,0,43
0,1,0,3,38,0,0,0,1,0,0,0,2,0,5,11,0,0,0,0,0,64,1,35,38,0,0,0,44
0,1,0,3,39,0,0,0,1,0,0,0,3,0,5,11,0,0,0,0,0,66,1,35,39,0,0,0,45
0,1,0,3,40,0,0,0,1,0,0,0,3,0,5,11,0,0,0,0,0,67,1,37,39,0,0,0,46
0,1,0,3,40,0,0,0,1,0,0,0,3,0,5,12,0,0,0,0,0,68,1,38,41,0,0,0,47
0,1,0,3,40,0,0,0,1,0,0,0,3,0,5,13,0,0,0,0,0,69,1,39,43,0,0,0,48
0,1,0,3,41,0,0,0,1,0,0,0,3,0,5,13,0,0,0,0,0,70,2,40,44,0,0,0,49
0,1,0,3,42,0,0,0,2,0,0,0,3,0,5,13,0,0,0,0,0,71,2,41,44,0,0,0,50
0,1,0,3,43,0,0,0,2,0,0,0,3,0,5,13,0,0,0,0,0,72,2,43,44,0,0,0,51
0,1,0,3,44,0,0,0,3,0,0,0,3,0,5,13,0,0,0,0,0,73,2,44,44,0,0,0,52
0,1,0,3,45,0,0,0,3,0,0,0,3,0,5,13,0,0,0,0,0,75,2,45,44,0,0,0,53
0,1,0,3,46,0,0,0,3,0,0,0,4,0,5,13,0,0,0,0,0,76,2,46,44,0,0,0,54
0,2,0,3,46,0,0,0,3,0,0,0,4,0,6,13,0,0,0,0,0,77,2,47,46,0,0,0,55
0,2,0,3,47,0,0,0,3,0,0,0,5,0,6,13,0,0,0,0,0,78,2,48,46,0,0,0,56
0,2,0,4,48,0,0,0,3,0,0,0,5,0,6,13,0,0,0,0,0,81,2,48,46,0,0,0,57
0,2,0,5,49,0,0,0,3,0,0,0,5,0,6,13,0,0,0,0,0,84,2,48,46,0,0,0,58
0,2,0,6,50,0,0,0,4,0,0,0,5,0,6,13,0,0,0,0,0,85,2,48,47,0,0,0,59
0,2,0,6,51,0,0,0,5,0,0,0,5,0,6,13,0,0,0,0,0,86,2,49,47,0,0,0,60
0,2,0,6,52,0,0,0,6,0,0,0,6,0,6,13,0,0,0,0,0,87,2,49,47,0,0,0,61
0,2,0,7,53,0,0,0,6,0,0,0,6,0,6,13,0,0,0,0,0,89,2,49,47,0,0,0,62
0,2,0,8,54,0,0,0,7,0,0,0,6,0,6,13,0,0,0,0,0,90,2,49,48,0,0,0,63
0,2,0,9,55,0,0,0,7,0,0,0,6,0,6,13,0,0,0,0,0,92,2,49,48,0,0,0,64
0,2,0,9,56,0,0,0,8,0,0,0,6,0,6,13,0,0,0,0,0,93,2,50,48,0,0,0,65
0,2,0,9,57,0,0,0,9,0,0,0,6,0,6,13,0,0,0,0,0,94,2,51,49,0,0,0,66
0,2,1,9,58,0,0,0,9,0,0,0,7,0,6,13,0,0,0,0,0,95,2,51,50,0,0,0,67
0,2,1,9,59,0,0,0,9,0,0,0,7,0,6,13,0,0,0,0,0,96,2,53,51,0,0,0,68
0,3,1,10,59,0,0,0,9,0,0,0,7,0,7,13,0,0,0,0,0,98,2,54,51,0,0,0,69
0,3,1,10,60,0,0,0,9,0,0,0,8,0,7,13,0,0,0,0,0,100,2,54,52,0,0,0,70
0,3,1,10,61,0,0,0,9,0,0,0,8,0,7,13,0,0,0,0,0,101,2,55,53,0,0,0,71
0,3,1,10,61,0,0,0,9,0,0,0,8,0,7,14,0,0,0,0,0,102,2,57,54,0,0,0,72
0,3,1,10,62,0,0,0,9,0,0,0,9,0,7,14,0,0,0,0,0,103,2,58,55,0,0,0,73
0,3,2,10,62,0,0,0,10,0,0,0,10,0,7,15,0,0,0,0,0,104,2,58,56,0,0,0,74
0,3,3,10,62,0,0,0,11,0,0,0,11,0,7,16,0,0,0,0,0,105,2,58,56,0,0,0,75
0,3,3,10,63,0,0,0,11,0,0,0,11,0,7,16,0,0,0,0,0,107,2,58,57,0,0,0,76
0,3,3,10,63,0,0,0,12,0,0,0,11,0,7,17,0,0,0,0,0,108,2,59,57,0,0,0,77
0,3,3,10,64,0,0,0,12,0,0,0,11,0,7,17,0,0,0,0,0,109,2,60,58,0,0,0,78
0,3,3,10,65,0,0,0,12,0,0,0,11,0,7,17,0,0,0,0,0,110,2,61,60,0,0,0,79
0,3,3,10,65,0,0,0,13,0,0,0,11,0,7,18,0,0,0,0,0,111,2,62,60,0,0,0,80
0,3,4,10,65,0,0,0,14,0,0,0,12,0,7,19,0,0,0,0,0,112,2,62,60,0,0,0,81
0,3,4,10,66,0,0,0,14,0,0,0,12,0,7,19,0,0,0,0,0,114,2,63,60,0,0,0,82
0,3,5,10,66,0,0,0,15,0,0,0,13,0,7,20,0,0,0,0,0,115,2,63,61,0,0,0,83
0,3,5,10,67,0,0,0,15,0,0,0,14,0,8,21,0,0,0,0,0,116,2,63,61,0,0,0,84
0,3,5,10,68,0,0,0,15,0,0,0,14,0,8,21,0,0,0,0,0,117,2,65,61,0,0,0,85
0,3,5,10,68,0,0,0,16,0,0,0,14,0,8,22,0,0,0,0,0,118,2,66,61,0,0,0,86
0,3,5,10,69,0,0,0,16,0,0,0,14,0,8,22,0,0,0,0,0,120,2,67,61,0,0,0,87
0,4,5,10,69,0,0,0,16,0,0,0,15,0,10,22,0,0,0,0,0,122,2,67,61,0,0,0,88
0,4,5,10,70,0,0,0,16,0,0,0,15,0,10,22,0,0,0,0,0,123,2,69,62,0,0,0,89
0,4,5,11,70,0,0,0,17,0,0,0,15,0,10,23,0,0,0,0,0,124,2,70,62,0,0,0,90
0,4,5,11,71,0,0,0,17,0,0,0,15,0,10,23,0,0,0,0,0,125,2,72,62,0,0,0,91
0,4,5,11,72,0,0,0,17,0,0,0,15,0,11,24,0,0,0,0,0,126,2,73,62,0,0,0,92
0,4,5,11,72,0,0,0,17,0,0,0,15,0,11,25,0,0,0,0,0,127,2,74,64,0,0,0,93
0,4,5,11,73,0,0,0,17,0,0,0,15,0,11,25,0,0,0,0,0,128,2,75,65,0,0,0,94
0,4,5,11,73,0,0,0,17,0,0,0,15,0,11,26,0,0,0,0,0,129,2,76,67,0,0,0,95
0,4,5,11,73,0,0,0,18,0,0,0,15,0,11,27,0,0,0,0,0,130,2,77,67,0,0,0,96
0,4,5,11,74,0,0,0,18,0,0,0,15,0,12,27,0,0,0,0,0,132,2,78,67,0,0,0,97
0,4,5,11,75,0,0,0,18,0,0,0,15,0,12,27,0,0,0,0,0,135,3,78,67,0,0,0,98
0,4,5,11,75,0,0,0,19,0,0,0,15,0,12,28,0,0,0,0,0,136,3,79,67,0,0,0,99
0,4,5,11,76,0,0,0,19,0,0,0,15,0,13,28,0,0,0,0,0,138,3,79,68,0,0,0,100
0,4,6,12,77,0,0,0,20,0,0,0,16,0,13,28,0,0,0,0,0,139,3,79,68,0,0,0,101
0,4,6,13,78,0,0,0,20,0,0,0,16,0,13,28,0,0,0,0,0,141,3,79,68,0,0,0,102
0,4,6,13,79,0,0,0,20,0,0,0,16,0,13,28,0,0,0,0,0,142,3,81,68,0,0,0,103
0,4,6,13,80,0,0,0,20,0,0,0,16,0,13,28,0,0,0,0,0,144,4,82,68,0,0,0,104
0,4,6,13,81,0,0,0,20,0,0,0,16,0,13,28,0,0,0,0,0,145,4,83,70,0,0,0,105
0,4,6,13,82,0,0,0,20,0,0,0,16,0,13,28,0,0,0,0,0,146,4,83,72,0,0,0,106
0,4,6,13,83,0,0,0,20,0,0,0,16,0,13,28,0,0,0,0,0,148,4,83,73,0,0,0,107
0,4,6,13,84,0,0,0,20,0,0,0,16,0,14,29,0,0,0,0,0,149,4,84,73,0,0,0,108
