generation,train,validation,test,valid_mse,test_mse
0,0.150327299265,0.110236138218,0.20094177055,0.0570658029913,0.0744374641798
1,0.433392078152,0.410120335057,0.376620913277,0.0476254159311,0.0580718109497
2,0.53331397669,0.487312426463,0.379804961368,0.0337614235995,0.0577751961887
3,0.55613649359,0.494888186592,0.390167533461,0.0358591397801,0.0568098552904
4,0.565311589146,0.497418533352,0.346919757627,0.0355835541087,0.0608386665157
5,0.563878384175,0.481672295171,0.318788735097,0.0417680884265,0.0634592539832
6,0.584401343848,0.503809787257,0.310300195325,0.0351654501882,0.0642500165985
7,0.59376004443,0.514422317886,0.303436334218,0.0346539591947,0.0648894298433
8,0.574476326807,0.507998802514,0.306892524467,0.0332721154047,0.0645674632727
9,0.573789589742,0.508464993971,0.345717998762,0.0370924120626,0.0609506181598
10,0.572484915876,0.52002592979,0.360591728451,0.0329065623867,0.0595650336303
11,0.570455097671,0.514653234004,0.341312296947,0.035266791968,0.0613610379001
12,0.578939811012,0.529475178248,0.34753694009,0.0331907523267,0.0607811719605
13,0.579978823369,0.520821469211,0.348056497477,0.035576133707,0.0607327718153
14,0.576215105301,0.530920266722,0.340860526127,0.0323425977141,0.0614031232864
15,0.583269687293,0.533698378221,0.36757826116,0.0331448239921,0.0589141927289
16,0.583862984165,0.539029574148,0.350478183791,0.0323351946215,0.0605071760056
17,0.578352241965,0.545263749512,0.39134247096,0.0317164509675,0.0567004022308
18,0.590814545283,0.559494823276,0.427038024428,0.0305804895981,0.0533751295727
19,0.600358359709,0.580247247394,0.451975763104,0.0294146872709,0.0510520172375
20,0.604692625478,0.590667835588,0.441485381416,0.0284513771917,0.0520292644297
21,0.607586497311,0.59151069172,0.418969658407,0.0295886964596,0.0541267502739
22,0.607560304811,0.592988623849,0.415867532548,0.0326153814118,0.0544157334468
23,0.619433822301,0.609957549681,0.41272114364,0.0270531922033,0.0547088400103
24,0.623541122202,0.621102208433,0.397599329288,0.0276208081567,0.0561175352376
25,0.62893876381,0.635176899394,0.377148595457,0.0265048227772,0.0580226539272
26,0.63142175627,0.641369864146,0.389190303814,0.025619408839,0.0569008905795
27,0.632730137461,0.640292321846,0.387359737397,0.0254103253012,0.0570714197312
28,0.635962098195,0.641528706052,0.382627668339,0.0268702454093,0.0575122427001
29,0.640379226419,0.648447097366,0.373839225331,0.0262905700826,0.0583309432497
