f1,f2,f3,f4,f5,num,validation
普通小学毕业生数(万人),建筑业城镇单位就业人员(万人),公路客运量(万人),房地产业全社会固定资产投资(亿元),农村卫生机构床位数(万张),29,0.648447097366
普通小学毕业生数(万人),建筑业城镇单位就业人员(万人),公路客运量(万人),房地产业全社会固定资产投资(亿元),农村卫生机构床位数(万张),29,0.648447097366
普通小学毕业生数(万人),建筑业城镇单位就业人员(万人),公路客运量(万人),房地产业全社会固定资产投资(亿元),农村卫生机构床位数(万张),29,0.648447097366
普通小学毕业生数(万人),建筑业城镇单位就业人员(万人),公路客运量(万人),房地产业全社会固定资产投资(亿元),农村卫生机构床位数(万张),29,0.648447097366
普通小学毕业生数(万人),建筑业城镇单位就业人员(万人),公路客运量(万人),房地产业全社会固定资产投资(亿元),农村卫生机构床位数(万张),29,0.648447097366
普通小学毕业生数(万人),建筑业城镇单位就业人员(万人),公路客运量(万人),房地产业全社会固定资产投资(亿元),农村卫生机构床位数(万张),28,0.641528706052
普通小学毕业生数(万人),建筑业城镇单位就业人员(万人),公路客运量(万人),房地产业全社会固定资产投资(亿元),农村卫生机构床位数(万张),28,0.641528706052
普通小学毕业生数(万人),建筑业城镇单位就业人员(万人),公路客运量(万人),房地产业全社会固定资产投资(亿元),农村卫生机构床位数(万张),28,0.641528706052
普通小学毕业生数(万人),建筑业城镇单位就业人员(万人),公路客运量(万人),房地产业全社会固定资产投资(亿元),农村卫生机构床位数(万张),28,0.641528706052
普通小学毕业生数(万人),建筑业城镇单位就业人员(万人),公路客运量(万人),房地产业全社会固定资产投资(亿元),农村卫生机构床位数(万张),28,0.641528706052
普通小学毕业生数(万人),建筑业城镇单位就业人员(万人),公路客运量(万人),全社会住宅投资(亿元),农村卫生机构床位数(万张),26,0.641369864146
普通小学毕业生数(万人),建筑业城镇单位就业人员(万人),公路客运量(万人),全社会住宅投资(亿元),农村卫生机构床位数(万张),26,0.641369864146
