f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,num,validation
房地产业全社会固定资产投资(亿元),建筑业城镇单位就业人员(万人),中等职业学校在校学生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),镇数(个),城镇单位就业人员平均工资(元),福利彩票提取公益金(亿元),124,0.839296498626
固定资产投资(不含农户)住宅施工面积(万平方米),建筑业城镇单位就业人员(万人),新注册民用载货汽车拥有量(万辆),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体国内演出场次(千场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),办公楼销售额(亿元),城镇居民基本医疗保险年末参保人数(万人),2295,0.838525046572
固定资产投资(不含农户)住宅施工面积(万平方米),建筑业城镇单位就业人员(万人),新注册民用载货汽车拥有量(万辆),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体国内演出场次(千场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),办公楼销售额(亿元),城镇居民基本医疗保险年末参保人数(万人),2294,0.838525046572
房地产业全社会固定资产投资(亿元),建筑业城镇单位就业人员(万人),初中毕业生数(万人),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),村民委员会数(个),林业总产值指数(上年=100)(%),城镇居民基本医疗保险年末参保人数(万人),2283,0.838482331988
1-5亿元房地产开发投资额(亿元),建筑业城镇单位就业人员(万人),中等职业学校预计毕业生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体国内演出场次(千场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),城镇单位就业人员平均工资(元),社会组织女性职工人数(人),616,0.837999531515
房地产开发住宅投资额(亿元),内资建筑业企业从业人员(万人),蔬菜播种面积(千公顷),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),国家重点优抚对象(万人),新注册民用中型载客汽车拥有量(万辆),城镇居民医疗保险基金支出(万元),1280,0.837610338326
城镇住宅投资(亿元),建筑业城镇单位就业人员(万人),普通小学专任教师数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体国内演出场次(千场次),鲜菜类居民消费价格指数(上年=100),国家重点优抚对象(万人),新注册民用中型载客汽车拥有量(万辆),城镇居民基本医疗保险年末参保人数(万人),1275,0.836259215069
全社会住宅投资(亿元),建筑业城镇单位就业人员(万人),普通高中在校学生数(万人),小学生师比(教师人数=1),特殊教育毕业生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),镇数(个),城镇单位就业人员平均工资(元),福利彩票提取公益金(亿元),115,0.835840653149
全社会固定资产投资中其他资金(亿元),建筑业城镇单位就业人员(万人),中等职业学校预计毕业生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),基层医疗卫生机构床位数(万张),城镇单位就业人员平均工资(元),城镇居民医疗保险基金累计结余(万元),572,0.835420518514
1-5亿元房地产开发投资额(亿元),内资建筑业企业从业人员(万人),中等职业学校在校学生数(万人),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体国内演出场次(千场次),鲜菜类居民消费价格指数(上年=100),国家重点优抚对象(万人),城镇单位就业人员平均工资(元),社会组织女性职工人数(人),1925,0.835298548209
房地产业全社会固定资产投资(亿元),建筑业城镇单位就业人员(万人),中等职业学校在校学生数(万人),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),镇数(个),城镇单位就业人员平均工资(元),福利彩票提取公益金(亿元),123,0.834547931242
房地产业全社会固定资产投资(亿元),建筑业城镇单位就业人员(万人),中等职业学校在校学生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),国家重点优抚对象定期补助人数(万人),城镇单位就业人员平均工资(元),城镇居民医疗保险基金收入(万元),127,0.834510322888
