f1,f2,f3,f4,f5,num,validation
房地产住宅投资(亿元),艺术表演团体国内演出场次(千场次),建筑业城镇单位就业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),3098,0.820540018575
全社会住宅投资(亿元),普通小学学校数(所),建筑业城镇单位就业人员(万人),中等职业学校获得职业资格证书毕业生数(万人),小学生师比(教师人数=1),630,0.810585924462
房地产开发住宅投资额(亿元),特殊教育招生数(万人),建筑业城镇单位就业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),1906,0.804789944387
房地产开发住宅投资额(亿元),农村集中供养五保人数(万人),建筑业城镇单位就业人员(万人),镇数(个),小学生师比(教师人数=1),2158,0.804648224077
房地产开发住宅投资额(亿元),农村集中供养五保人数(万人),建筑业城镇单位就业人员(万人),镇数(个),小学生师比(教师人数=1),2161,0.804648224077
商品房销售面积(万平方米),农村集中供养五保人数(万人),建筑业城镇单位就业人员(万人),初中招生数(万人),小学生师比(教师人数=1),1047,0.802638287976
房地产开发住宅投资额(亿元),特殊教育招生数(万人),建筑业城镇单位就业人员(万人),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),1143,0.802537977809
房地产住宅投资(亿元),新注册民用中型载客汽车拥有量(万辆),建筑业城镇单位就业人员(万人),中等职业学校获得职业资格证书毕业生数(万人),小学生师比(教师人数=1),1643,0.801227076701
房地产住宅投资(亿元),新注册民用中型载客汽车拥有量(万辆),建筑业城镇单位就业人员(万人),中等职业学校获得职业资格证书毕业生数(万人),小学生师比(教师人数=1),1644,0.801227076701
全社会住宅投资(亿元),普通小学学校数(所),建筑业城镇单位就业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),628,0.796292301702
1-5亿元房地产开发投资额(亿元),普通小学学校数(所),建筑业城镇单位就业人员(万人),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),690,0.795845723371
房地产业全社会固定资产投资(亿元),特殊教育毕业生数(万人),建筑业城镇单位就业人员(万人),中等职业学校获得职业资格证书毕业生数(万人),小学生师比(教师人数=1),2492,0.794536866081
房地产开发住宅投资额(亿元),艺术表演团体演出场次(万场次),建筑业城镇单位就业人员(万人),中等职业学校获得职业资格证书毕业生数(万人),小学生师比(教师人数=1),255,0.794445297301
房地产住宅投资(亿元),艺术表演团体机构数(个),建筑业城镇单位就业人员(万人),初中毕业生数(万人),小学生师比(教师人数=1),1652,0.793098191944
城镇住宅投资(亿元),普通小学学校数(所),建筑业城镇单位就业人员(万人),镇数(个),小学生师比(教师人数=1),886,0.793048436435
城镇住宅投资(亿元),普通小学学校数(所),建筑业城镇单位就业人员(万人),镇数(个),小学生师比(教师人数=1),884,0.793048436435
内资房地产开发企业个数(个),农村集中供养五保人数(万人),建筑业城镇单位就业人员(万人),普通高中毕业生数(万人),小学生师比(教师人数=1),2641,0.790776554669
全社会住宅投资(亿元),机动脱粒机数量(台),内资建筑业企业从业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),2890,0.790690692242
房地产住宅投资(亿元),新注册民用中型载客汽车拥有量(万辆),建筑业城镇单位就业人员(万人),中等职业学校获得职业资格证书毕业生数(万人),小学生师比(教师人数=1),1645,0.790160694065
固定资产投资(不含农户)房屋施工面积(万平方米),乡村医生和卫生员数(万人),建筑业城镇单位就业人员(万人),中等职业学校获得职业资格证书毕业生数(万人),小学生师比(教师人数=1),690,0.789312524345
