num,Chinese,Name
1,综合, General Survey
2,国民经济核算, National Accounts
3,人口, Population
4,就业人员和工资, Employments and Wages
5,固定资产投资和房地产, Investment in Fixed Assets and Real Estate
6,对外经济贸易, Foreign Trade and Economic Cooperation
7,能源, Energy
8,财政, Finance
9,价格指数, Price Index
10,人民生活, People's Living Conditions
11,城市概况, General Survey of Cities
12,资源和环境, Resources and Environment
13,农业, Agriculture
14,工业, Industry
15,建筑业, Construction
16,运输和邮电, Transport and Telecommunication Services
17,社会消费品零售总额, Total Retail Sales of Consumer Goods
18,批发和零售业, Wholesale and Retail Trades
19,住宿和餐饮业, Hotels and Catering Services
20,旅游业, Tourism
21,金融业, Financial Intermediation
22,教育, Education
23,科技, Science and Technology
24,卫生, Public Health
25,社会服务, Social Service
26,文化, Culture
27,体育, Physical Education
28,公共管理、社会保障及其他, Public Management and Social Security 
