1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,n
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,1
0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,2,0,0,0,2
0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,3,0,0,0,3
0,0,0,3,4,0,0,0,4,0,0,0,0,0,1,4,0,0,0,0,0,12,0,0,4,0,0,0,4
0,0,0,3,5,0,0,0,5,0,0,0,0,0,1,5,0,0,0,0,0,15,0,0,6,0,0,0,5
0,0,0,3,6,0,0,0,6,0,0,0,0,0,2,6,0,0,0,0,0,18,0,0,7,0,0,0,6
0,0,0,4,7,0,0,0,7,0,0,0,0,0,2,6,0,0,0,0,0,21,1,0,8,0,0,0,7
0,0,0,5,8,0,0,0,8,0,0,0,0,0,2,6,0,0,0,0,0,24,2,0,9,0,0,0,8
0,0,0,6,10,0,0,0,9,0,0,0,0,0,2,6,0,0,0,0,0,26,3,0,11,0,0,0,9
0,0,0,6,11,0,0,0,10,0,0,0,0,0,2,7,0,0,0,0,0,29,3,0,13,0,0,0,10
0,0,0,7,12,0,0,0,11,0,0,0,0,0,2,7,0,0,0,0,0,32,3,0,15,0,0,0,11
0,0,0,7,13,0,0,0,12,0,0,0,0,0,3,8,0,0,0,0,0,35,3,0,16,0,0,0,12
0,0,0,9,14,0,0,0,13,0,0,0,0,0,3,8,0,0,0,0,0,37,4,0,18,0,0,0,13
0,0,0,10,15,0,0,0,14,0,0,0,1,0,3,10,0,0,0,0,0,38,4,0,20,0,0,0,14
0,0,0,11,17,0,0,0,15,0,0,0,1,0,3,10,0,0,0,0,0,40,5,0,22,0,0,0,15
0,0,0,12,18,0,0,0,16,0,0,0,2,0,3,11,0,0,0,0,0,41,5,1,24,0,0,0,16
0,0,0,13,19,0,0,0,17,0,0,0,3,0,3,12,0,0,0,0,0,42,5,2,26,0,0,0,17
0,0,0,15,20,0,0,0,18,0,0,0,3,0,3,12,0,0,0,0,0,44,6,2,28,0,0,0,18
0,0,0,17,21,0,0,0,19,0,0,0,5,0,3,12,0,0,0,0,0,45,6,3,29,0,0,0,19
0,0,0,19,22,0,0,0,20,0,0,0,5,0,3,12,0,0,0,0,0,47,7,3,31,0,0,0,20
0,0,0,20,23,0,0,0,21,0,0,0,6,0,3,13,0,0,0,0,0,49,7,3,33,0,0,0,21
0,0,0,21,24,0,0,0,22,0,0,0,7,0,3,14,0,0,0,0,0,51,7,3,35,0,0,0,22
0,0,0,22,25,0,0,0,23,0,0,0,8,0,3,16,0,0,0,0,0,52,7,3,37,0,0,0,23
0,0,0,23,26,0,0,0,24,0,0,0,9,0,3,17,0,0,0,0,0,54,7,3,39,0,0,0,24
0,0,0,23,27,0,0,0,25,0,0,0,10,0,5,17,0,0,0,0,0,56,7,4,40,0,0,0,25
0,0,0,23,28,0,0,0,26,0,0,0,11,0,7,17,0,0,0,0,0,58,7,5,41,0,0,0,26
0,0,0,24,28,0,0,0,27,0,0,0,12,0,9,17,0,0,0,0,0,60,7,6,42,0,0,0,27
0,0,0,25,29,0,0,0,28,0,0,0,13,0,9,19,0,0,0,0,0,61,7,6,44,0,0,0,28
0,0,0,26,30,0,0,0,29,0,0,0,14,0,10,20,0,0,0,0,0,63,7,6,45,0,0,0,29
0,0,0,27,30,0,0,0,30,0,0,0,15,0,12,20,0,0,0,0,0,65,7,7,46,0,0,0,30
