1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,n
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,2
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,3
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,4,0,0,0,4
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,5,0,0,0,5
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,6,0,0,0,6
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,7,0,0,0,7
0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,8,8,0,0,0,8
0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,9,9,0,0,0,9
0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,10,10,0,0,0,10
0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,11,11,0,0,0,11
0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,12,12,0,0,0,12
0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,13,13,0,0,0,13
0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,14,14,0,0,0,14
0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,15,15,0,0,0,15
0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,16,16,0,0,0,16
0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,17,17,0,0,0,17
0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,18,18,0,0,0,18
0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,19,19,0,0,0,19
0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,20,20,0,0,0,20
